,value
asset_total_return,-0.2569508256960309
strategy_total_return,-0.0025335875713295986
asset_annualized_return,-0.211477582487412
strategy_annualized_return,-0.002027384103493124
asset_annualized_volatility,0.3588970039605238
strategy_annualized_volatility,0.2200259971538288
asset_sharpe,-0.4816087879466023
strategy_sharpe,0.10082904675105714
asset_max_drawdown,-0.4962577290988386
strategy_max_drawdown,-0.24774532283741724
strategy_exposure,0.5079365079365079
strategy_trade_count,7.0
