date,price,coin_id
2025-03-10,80751.13893300897,bitcoin
2025-03-11,78783.94057934263,bitcoin
2025-03-12,82799.1080292053,bitcoin
2025-03-13,83884.24578828987,bitcoin
2025-03-14,81098.90052436228,bitcoin
2025-03-15,83971.70916064628,bitcoin
2025-03-16,84391.69087647168,bitcoin
2025-03-17,82610.61750343916,bitcoin
2025-03-18,84075.36559694471,bitcoin
2025-03-19,82780.03048688271,bitcoin
2025-03-20,86815.44109470697,bitcoin
2025-03-21,84270.84358966233,bitcoin
2025-03-22,84009.532917822,bitcoin
2025-03-23,83793.30854192551,bitcoin
2025-03-24,85787.70914901773,bitcoin
2025-03-25,87327.72969669085,bitcoin
2025-03-26,87520.58391530563,bitcoin
2025-03-27,86960.8555491039,bitcoin
2025-03-28,87227.27158032371,bitcoin
2025-03-29,84359.46915506005,bitcoin
2025-03-30,82679.17255385047,bitcoin
2025-03-31,82356.38111183756,bitcoin
2025-04-01,82514.09365397849,bitcoin
2025-04-02,85237.5876052852,bitcoin
2025-04-03,82526.4221526433,bitcoin
2025-04-04,83163.98757387721,bitcoin
2025-04-05,83852.00765399594,bitcoin
2025-04-06,83595.88550177493,bitcoin
2025-04-07,78211.48358199988,bitcoin
2025-04-08,79179.29226757778,bitcoin
2025-04-09,76329.090356324,bitcoin
2025-04-10,82622.17029546302,bitcoin
2025-04-11,79596.35732250768,bitcoin
2025-04-12,83439.28818043756,bitcoin
2025-04-13,85305.09728392666,bitcoin
2025-04-14,83600.82010054543,bitcoin
2025-04-15,84523.4524914945,bitcoin
2025-04-16,83656.49248858042,bitcoin
2025-04-17,84105.77942167096,bitcoin
2025-04-18,84930.90857600998,bitcoin
2025-04-19,84433.75017215389,bitcoin
2025-04-20,85126.66244301842,bitcoin
2025-04-21,85073.16544858096,bitcoin
2025-04-22,87452.04699068287,bitcoin
2025-04-23,93576.16588573981,bitcoin
2025-04-24,93605.45230873208,bitcoin
2025-04-25,93872.81422867288,bitcoin
2025-04-26,94773.11200643536,bitcoin
2025-04-27,94644.06637120107,bitcoin
2025-04-28,93809.33781968223,bitcoin
2025-04-29,95030.60645474444,bitcoin
2025-04-30,94256.35946318062,bitcoin
2025-05-01,94235.75331048167,bitcoin
