date,price,fast_ma,slow_ma,signal,asset_return,position,gross_strategy_return,trade_flag,transaction_cost,net_strategy_return,equity_asset,equity_strategy_gross,equity_strategy_net
2025-05-01,94235.75331048168,88972.5565722986,85644.00736407485,1,-0.00021861816875057283,1.0,-0.00021861816875057283,1,0.001,-0.0012186181687505728,0.9997813818312494,0.9997813818312494,0.9987813818312494
2025-05-02,96426.94522273028,89621.93942441323,85894.86135276366,1,0.023252235327595905,1.0,0.023252235327595905,0,0.0,0.023252235327595905,1.0230285337977387,1.0230285337977387,1.022005281562411
2025-05-03,96855.5681343944,90199.46296693661,86209.99470496431,1,0.004445053306148639,1.0,0.004445053306148639,0,0.0,0.004445053306148639,1.0275759501641808,1.0275759501641808,1.0265481495181215
2025-05-04,95922.86842404422,90815.56538311155,86449.01789023227,1,-0.009629799590416765,1.0,-0.009629799590416765,0,0.0,-0.009629799590416765,1.0176805997001677,1.0176805997001677,1.0166626965683487
2025-05-05,94326.62048529249,91305.72378280145,86647.71648240868,1,-0.016640952934134923,1.0,-0.016640952934134923,0,0.0,-0.016640952934134923,1.000745424738575,1.000745424738575,0.9997444604848641
2025-05-06,94758.8237105546,91860.84034390017,86890.68060655099,1,0.004581985690131907,1.0,0.004581985690131907,0,0.0,0.004581985690131907,1.0053308259541922,1.0053308259541922,1.0043252752965943
2025-05-07,96854.53198815876,92498.27797222456,87146.26393437527,1,0.022116233565811383,1.0,0.022116233565811383,0,0.0,0.022116233565811383,1.0275649573119052,1.0275649573119052,1.0265371676611017
2025-05-08,97026.493769668,93103.05723190746,87431.19320003098,1,0.0017754644824494736,1.0,0.0017754644824494736,0,0.0,0.0017754644824494736,1.0293893623970223,1.0293893623970223,1.0283597479421982
2025-05-09,103076.27555512934,94035.18350105622,87756.40988923942,1,0.06235185412164812,1.0,0.06235185412164812,0,0.0,0.06235185412164812,1.093573697755578,1.093573697755578,1.0924798849304649
2025-05-10,102962.540456923,94926.97740175146,88130.24382658463,1,-0.0011034071380033872,1.0,-0.0011034071380033872,0,0.0,-0.0011034071380033872,1.0923670407315416,1.0923670407315416,1.0912744348273076
2025-05-11,104630.8792994166,95904.86309429324,88542.67075421654,1,0.016203357406391783,1.0,0.016203357406391783,0,0.0,0.016203357406391783,1.1100670543114772,1.1100670543114772,1.1089567445232726
2025-05-12,103994.061616746,96731.9638255964,88946.68581571295,1,-0.006086326397470643,1.0,-0.006086326397470643,0,0.0,-0.006086326397470643,1.1033108238958589,1.1033108238958589,1.1022072718154274
2025-05-13,102876.8304286011,97196.99705273946,89288.46824130461,1,-0.010743221014506421,1.0,-0.010743221014506421,0,0.0,-0.010743221014506421,1.0914577118670485,1.0914577118670485,1.0903660154905181
2025-05-14,104184.49039270742,97725.94895693823,89625.60345522493,1,0.01271092780228944,1.0,0.01271092780228944,0,0.0,0.01271092780228944,1.1053311520418427,1.1053311520418427,1.1042255791914881
